sku,listingId,donor,rule,engine,n_vehicles,sources,models,action,reason
6721,407183349071,BMW 750Li [F02],A,,24,chassis,"740Li,750Li,760Li,Alpina B7L",pushed,"not under an engine branch (Car & Truck Parts & Accessories > Advanced Driver Assistance Systems > Parking Assistance > Camera, Monitor & Sensor Kits) [catalog: 18 dropped_vehicle]"
5202,407183377155,BMW 750Li [G12],B,N63,10,chassis,"750Li,Alpina B7",pushed,under engine ancestor 33612 (Car & Truck Parts & Accessories > Engines & Engine Parts > Engines) [catalog: 4 dropped_vehicle]
65260,407183366716,BMW M340i [G20],A,,41,chassis,"330e,330e xDrive,330i,330i xDrive,M340i,M340i xDrive",pushed,"not under an engine branch (Car & Truck Parts & Accessories > Steering & Suspension > Wheel Bearings, Hubs & Seals) [catalog: 7 dropped_vehicle]"
4660,407183319793,,,,,,,skip,no Shopify donor for SKU
65007,407174129955,BMW M340i [G20],A,,41,chassis,"330e,330e xDrive,330i,330i xDrive,M340i,M340i xDrive",pushed,not under an engine branch (Car & Truck Parts & Accessories > Interior Parts & Accessories > Switches & Controls) [catalog: 7 dropped_vehicle]
65057,407174448045,,,,,,,skip,category 21647 never renders fitment on eBay
65039,407174398212,,,,,,,skip,category 33643 never renders fitment on eBay
65002,407174134687,,,,,,,skip,category 107062 never renders fitment on eBay
65018,407174131735,,,,,,,skip,category 107062 never renders fitment on eBay
65001,407174129951,BMW M340i [G20],A,,41,chassis,"330e,330e xDrive,330i,330i xDrive,M340i,M340i xDrive",pushed,not under an engine branch (Car & Truck Parts & Accessories > Interior Parts & Accessories > Switches & Controls) [catalog: 7 dropped_vehicle]
65016,407174119609,,,,,,,skip,category 169395 never renders fitment on eBay
31521,407045796824,BMW X5 [G05],A,,22,chassis+etk,"X5,X7",pushed,"not under an engine branch (Car & Truck Parts & Accessories > Steering & Suspension > Control Arms, Ball Joints & Assemblies) (+21 ETK rows)"
52670,407087063937,,,,,,,skip,already 39 vehicles (multi-fit/expanded)
3684,407045787871,BMW X5 [G05],A,,22,chassis+etk,"X5,X7",pushed,"not under an engine branch (Car & Truck Parts & Accessories > Steering & Suspension > Control Arms, Ball Joints & Assemblies) (+21 ETK rows)"
60019,407046051965,BMW 750Li [F02],A,,75,chassis+etk,"740Ld xDrive,740Li,740Li xDrive,740i,750Li,750Li xDrive,750i,750i xDrive,760Li,ActiveHybrid 7,Alpina B7,Alpina B7 xDrive,Alpina B7L,Alpina B7L xDrive",pushed,not under an engine branch (Car & Truck Parts & Accessories > Other Car & Truck Parts & Accessories) (+68 ETK rows) [catalog: 18 dropped_vehicle]
54218,407087054899,BMW M550i [G30],A,,40,chassis,"530e,530i,530i xDrive,540i,540i xDrive,M550i xDrive",pushed,not under an engine branch (Car & Truck Parts & Accessories > Exterior Parts & Accessories > Other Exterior Parts & Accessories) [catalog: 2 dropped_vehicle]
61095,407183207999,,,,,,,skip,category 179679 never renders fitment on eBay
61309,407183198174,BMW 128i [E82],A,,14,chassis,"1 Series M,128i,135i,135is",pushed,"not under an engine branch (Car & Truck Parts & Accessories > Steering & Suspension > Gearboxes, Rack & Pinions) [catalog: 10 dropped_vehicle]"
61144,407183197962,BMW 128i [E82],A,,13,chassis+etk,"1 Series M,128i,135i",pushed,not under an engine branch (Car & Truck Parts & Accessories > Lighting & Lamps > Headlight Assemblies) (+12 ETK rows) [catalog: 7 dropped_vehicle]
61143,407183198085,BMW 128i [E82],A,,13,chassis+etk,"1 Series M,128i,135i",pushed,not under an engine branch (Car & Truck Parts & Accessories > Lighting & Lamps > Headlight Assemblies) (+12 ETK rows) [catalog: 7 dropped_vehicle]
60936,407183163866,BMW 128i [E82],A,,14,chassis,"1 Series M,128i,135i,135is",pushed,"not under an engine branch (Car & Truck Parts & Accessories > Interior Parts & Accessories > Floor Mats, Carpets & Cargo Liners) [catalog: 10 dropped_vehicle]"
60915,407183162327,BMW 128i [E82],B,N51,6,chassis,128i,pushed,"under engine ancestor 33572 (Car & Truck Parts & Accessories > Starters, Alternators, ECUs & Wiring > ECUs & Computer Modules)"
60886,407183146773,BMW 128i [E82],A,,14,chassis,"1 Series M,128i,135i,135is",pushed,not under an engine branch (Car & Truck Parts & Accessories > Exterior Parts & Accessories > Bumpers & Components > Bumper Inserts & Covers) [catalog: 10 dropped_vehicle]
60885,407183146137,BMW 128i [E82],A,,14,chassis,"1 Series M,128i,135i,135is",pushed,not under an engine branch (Car & Truck Parts & Accessories > Interior Parts & Accessories > Dash Panels & Glove Boxes > Dash Panels) [catalog: 10 dropped_vehicle]
60884,407183141494,BMW 128i [E82],A,,14,chassis,"1 Series M,128i,135i,135is",pushed,"not under an engine branch (Car & Truck Parts & Accessories > Interior Parts & Accessories > Floor Mats, Carpets & Cargo Liners) [catalog: 10 dropped_vehicle]"
60882,407183140470,BMW 128i [E82],A,,14,chassis+etk,"1 Series M,128i,135i,135is",pushed,not under an engine branch (Car & Truck Parts & Accessories > Exterior Parts & Accessories > Panels > Fenders) (+12 ETK rows) [catalog: 10 dropped_vehicle]
60880,407183140553,BMW 128i [E82],A,,14,chassis,"1 Series M,128i,135i,135is",pushed,"not under an engine branch (Car & Truck Parts & Accessories > Exterior Parts & Accessories > Doors, Trunk Lids & Hatches > Doors & Door Skins) [catalog: 10 dropped_vehicle]"
