chassis_code,series,body_style,us_start_year,us_end_year,still_selling,trims,confidence,verified,notes,sources
E30,3 Series,Sedan / Coupe / Convertible,1984,1991,no,318i | 318is | 325e | 325es | 325 | 325i | 325is | 325ix,high,False,US E30 1984-1991. Early 318i (M10) and 325e/es (eta M20); 1987+ 325/325i/325is and 325ix AWD; 318is (M42) 1990-91. E30 Touring wagon NOT sold in US.,https://en.wikipedia.org/wiki/BMW_3_Series_(E30)
E36,3 Series,Sedan / Coupe / Convertible / Compact,1992,1999,no,318i | 318is | 318ti | 323i | 323is | 325i | 325is | 328i | 328is,high,False,US E36 1992-1999. 318ti = Compact hatchback (1995-99). 323i/323is replaced 325 in 1998-99. E36 Touring NOT sold in US.,https://en.wikipedia.org/wiki/BMW_3_Series_(E36)
E46,3 Series,Sedan / Coupe / Convertible / Wagon,1999,2006,no,323i | 323Ci | 325i | 325xi | 325Ci | 328i | 328Ci | 330i | 330xi | 330Ci,high,False,US E46 1999-2006. Touring wagon sold as 325i/325xi. xDrive badged 'xi'. M3 tracked separately.,https://en.wikipedia.org/wiki/BMW_3_Series_(E46)
E90,3 Series Sedan,Sedan,2006,2011,no,325i | 325xi | 328i | 328xi | 328i xDrive | 330i | 330xi | 335i | 335i xDrive | 335d,high,False,US E90 sedan 2006-2011. 328i/335i from 2007; 335d diesel 2009+. 'xi' became 'xDrive' from 2009.,https://en.wikipedia.org/wiki/BMW_3_Series_(E90)
E91,3 Series Touring,Wagon,2006,2012,no,325i | 325xi | 328i | 328i xDrive,high,False,US E91 wagon 2006-2012. No 335i wagon in US.,https://en.wikipedia.org/wiki/BMW_3_Series_(E90)
E92,3 Series Coupe,Coupe,2007,2013,no,328i | 328xi | 328i xDrive | 335i | 335xi | 335i xDrive | 335is,high,False,US E92 coupe 2007-2013 (ran past the sedan). 335is added 2011. M3 tracked separately.,https://en.wikipedia.org/wiki/BMW_3_Series_(E90)
E93,3 Series Convertible,Convertible,2007,2013,no,328i | 335i | 335is,high,False,US E93 hardtop convertible 2007-2013. 335is added 2011.,https://en.wikipedia.org/wiki/BMW_3_Series_(E90)
F30,3 Series Sedan,Sedan,2012,2018,no,320i | 328i | 328d | 330i | 335i | 340i | ActiveHybrid 3,high,False,US F30 sedan 2012-2018. 328i(N20)->330i(B48) ~2016; 335i(N55)->340i(B58) ~2016. xDrive on most.,https://en.wikipedia.org/wiki/BMW_3_Series_(F30)
F31,3 Series Sports Wagon,Wagon,2014,2019,no,328i xDrive | 328d xDrive | 330i xDrive,high,False,"US F31 wagon 2014-2019, xDrive-only. 328i->330i ~2016; 328d diesel throughout.",https://en.wikipedia.org/wiki/BMW_3_Series_(F30)
F34,3 Series Gran Turismo,Fastback,2014,2019,no,328i xDrive | 335i xDrive | 340i xDrive,high,False,"US 3 GT 2014-2019, xDrive-only. 335i->340i ~2016. No successor.",https://en.wikipedia.org/wiki/BMW_3_Series_Gran_Turismo
G20,3 Series Sedan,Sedan,2019,2026,yes,330i | 330i xDrive | 330e | 330e xDrive | M340i | M340i xDrive,high,False,"US G20 from 2019; M340i MY2020, 330e PHEV MY2021, LCI 2023. M3 (G80) separate. G21 wagon NOT US.",https://en.wikipedia.org/wiki/BMW_3_Series_(G20)
E30 M3,M3,Coupe,1988,1991,no,M3,high,False,"US E30 M3 1988-1991, coupe only (S14 2.3L).",https://en.wikipedia.org/wiki/BMW_M3
E36 M3,M3,Coupe / Sedan / Convertible,1995,1999,no,M3,high,False,US E36 M3 1995-1999. Sedan/convertible added 1997-98. US-spec S50B30US/S52.,https://en.wikipedia.org/wiki/BMW_M3
E46 M3,M3,Coupe / Convertible,2001,2006,no,M3,high,False,US E46 M3 2001-2006 (S54 3.2L). No sedan. CSL not US.,https://en.wikipedia.org/wiki/BMW_M3
E90 M3,M3 Sedan,Sedan,2008,2011,no,M3,high,False,US E90 M3 sedan 2008-2011 (S65 4.0L V8).,https://en.wikipedia.org/wiki/BMW_M3
E92 M3,M3 Coupe,Coupe,2008,2013,no,M3,high,False,US E92 M3 coupe 2008-2013 (S65 4.0L V8). Lime Rock/Frozen editions.,https://en.wikipedia.org/wiki/BMW_M3
E93 M3,M3 Convertible,Convertible,2008,2013,no,M3,high,False,US E93 M3 convertible 2008-2013 (S65 4.0L V8).,https://en.wikipedia.org/wiki/BMW_M3
F80 M3,M3 Sedan,Sedan,2015,2018,no,M3 | M3 Competition | M3 CS,high,False,"US F80 M3 sedan 2015-2018 (S55). Competition from 2016, CS 2018. Coupe/convertible moved to M4.",https://en.wikipedia.org/wiki/BMW_M3
G80 M3,M3 Sedan,Sedan,2021,2026,yes,M3 | M3 Competition | M3 Competition xDrive | M3 CS,high,False,"US G80 M3 from 2021 (S58). Competition xDrive MY2022, CS MY2023. G81 Touring NOT US.",https://en.wikipedia.org/wiki/BMW_M3
E82,1 Series Coupe,Coupe,2008,2013,no,128i | 135i | 135is | 1 Series M,high,False,US 1 Series = E82 coupe + E88 convertible only. 135is 2013. 1M Coupe MY2011 only. Hatchbacks NOT US.,https://en.wikipedia.org/wiki/BMW_1_Series_(E82)
E88,1 Series Convertible,Convertible,2008,2013,no,128i | 135i | 135is,high,False,Soft-top 1 Series. Same engines as E82. No 1M convertible.,https://en.wikipedia.org/wiki/BMW_1_Series_(E82)
F22,2 Series Coupe,Coupe,2014,2021,no,228i | 230i | M235i | M240i,high,False,1st 2 Series coupe. 228i/M235i early; 230i/M240i from MY2017 LCI. M2 separate (F87).,https://en.wikipedia.org/wiki/BMW_2_Series_(F22)
F23,2 Series Convertible,Convertible,2015,2021,no,228i | 230i | M235i | M240i,high,False,"Soft-top F22. 228i/M235i, then 230i/M240i post-LCI. No convertible successor.",https://en.wikipedia.org/wiki/BMW_2_Series_(F22)
