sku,listing,part_type,current_category_id,current_category,vehicles_we_pushed,vehicles_displayed,suggested_category_id,suggested_category,actionable
1034,https://www.ebay.com/itm/407132223731,Wheel Rim,179679,"Car & Truck Parts & Accessories > Wheels, Tires & Parts > Wheels",4,0,,"Wheels - eBay uses wheel specs, not vehicle fitment",no good target
1035,https://www.ebay.com/itm/407132223263,Wheel Rim,179679,"Car & Truck Parts & Accessories > Wheels, Tires & Parts > Wheels",4,0,,"Wheels - eBay uses wheel specs, not vehicle fitment",no good target
1036,https://www.ebay.com/itm/407132223562,Wheel Rim,179679,"Car & Truck Parts & Accessories > Wheels, Tires & Parts > Wheels",4,0,,"Wheels - eBay uses wheel specs, not vehicle fitment",no good target
1044,https://www.ebay.com/itm/407020049672,Wireless Phone Charger Module,107062,(not in our tree - In-Car Tech / Performance branch),4,0,33596,"Starters, Alternators, ECUs & Wiring > ECUs & Computer Modules",YES - moving this would show fitment
1375,https://www.ebay.com/itm/407130072805,Liftgate Trunk Lid Badge / Letters,33643,Car & Truck Parts & Accessories > Exterior Parts & Accessories > Emble,7,0,,Emblems - not vehicle-fitment rendered,no good target
1515,https://www.ebay.com/itm/407122672747,Surround View Camera Module,107062,(not in our tree - In-Car Tech / Performance branch),4,0,33596,"Starters, Alternators, ECUs & Wiring > ECUs & Computer Modules",YES - moving this would show fitment
1561,https://www.ebay.com/itm/407127889801,EKP Fuel Pump Module,107062,(not in our tree - In-Car Tech / Performance branch),7,0,33596,"Starters, Alternators, ECUs & Wiring > ECUs & Computer Modules",YES - moving this would show fitment
1608,https://www.ebay.com/itm/407128006750,Emergency Spare Wheel Rim Tire Tool Kit SET,262265,"Car & Truck Parts & Accessories > Wheels, Tires & Parts > Wheel & Tire",12,0,,Spare tire tool kits,no good target
1692,https://www.ebay.com/itm/407129684614,Speakers SET,179671,(not in our tree - In-Car Tech / Performance branch),4,0,,car audio - no Car&Truck equivalent; likely stays as is,no good target
2041,https://www.ebay.com/itm/407131560084,Stereo Audio Amp Amplifier,21647,(not in our tree - In-Car Tech / Performance branch),4,0,,car audio - amplifiers,no good target
2140,https://www.ebay.com/itm/407129704937,Speakers SET,179671,(not in our tree - In-Car Tech / Performance branch),4,0,,car audio - no Car&Truck equivalent; likely stays as is,no good target
