sku,listingId,categoryId,rule,stored,displayed,leaked,status
37669,407087396703,33554,-,11,24,,OK
38076,407087396670,46102,A,11,11,,OK
39298,407087397232,258035,A,8,0,,INVISIBLE
38364,407087396337,33710,A,5,58,,OK
37868,407087396045,262150,A,6,26,,OK
38314,407087395939,262084,A,6,26,,OK
39616,407087396639,258035,A,8,0,,INVISIBLE
37970,407087395458,33675,A,41,62,,OK
38042,407087395550,33705,A,41,62,,OK
37670,407087394964,262083,A,11,11,,OK
38168,407087395151,50459,A,8,28,,OK
38188,407087394619,42609,A,360,501,,OK
37978,407087395287,258035,A,41,0,,INVISIBLE
39079,407087394191,33732,A,15,67,,OK
39462,407087394161,33706,A,8,81,,OK
39109,407087393579,262255,A,31,52,,OK
38916,407087393391,174030,-,1,8,,OK
38899,407087391483,258038,A,216,0,,INVISIBLE
39044,407087393150,42609,A,187,420,,OK
39178,407087393102,50459,A,8,81,,OK
38370,407087392822,33596,-,1,10,,OK
38562,407087392685,33725,A,90,262,,OK
38927,407087392738,174030,-,1,8,,OK
39006,407087392566,50459,A,6,16,,OK
39303,407087392503,179851,A,5,40,,OK
38503,407087392527,33705,A,11,12,,OK
39139,407087392204,33729,A,8,81,,OK
38403,407087392370,50459,A,8,28,,OK
38063,407087392325,33545,A,41,62,,OK
38500,407087392256,50459,A,11,12,,OK
38966,407087392185,33604,-,37,83,,OK
39118,407087391692,174093,A,8,81,,OK
38127,407087391968,33648,A,6,26,,OK
38757,407087391964,33645,A,37,108,,OK
37692,407087391995,33590,A,11,12,,OK
38823,407087391926,179851,A,8,81,,OK
39639,407087391987,61523,A,8,81,,OK
38061,407087391699,262068,A,41,62,,OK
37894,407087391686,33582,A,6,26,,OK
38849,407087391537,33725,A,8,81,,OK
38776,407087391490,177710,A,30,95,,OK
38904,407087391331,50459,A,15,67,,OK
38969,407087391126,50459,A,50,92,,OK
37676,407087391243,177710,A,11,11,,OK
38631,407087391332,179847,-,1,10,,OK
38431,407087391054,262189,A,8,28,,OK
38588,407087391114,33582,A,8,28,,OK
38102,407087391330,258038,A,6,0,,INVISIBLE
38436,407087390931,61523,A,46,65,,OK
38603,407087390953,262150,A,5,58,,OK
39304,407087390929,179851,A,5,40,,OK
38968,407087390893,42609,A,8,81,,OK
38675,407087390889,33590,A,14,31,,OK
37974,407087390900,179851,A,41,62,,OK
38810,407087390623,33725,A,66,183,,OK
38693,407087390647,42609,A,184,411,,OK
38328,407087390712,33705,A,6,26,,OK
37672,407087390607,33725,A,11,11,,OK
38211,407087389380,33699,A,5,58,,OK
38032,407087390842,33554,-,1,1,,OK
38386,407087390317,33596,-,1,10,,OK
38702,407087390057,50459,A,21,80,,OK
38470,407087390164,43946,B,8,28,,OK
38794,407087390214,33590,A,8,81,,OK
39041,407087389902,43946,-,6,13,,OK
37973,407087390098,179851,A,41,62,,OK
38583,407087389916,33590,A,8,28,,OK
38741,407087389984,50459,A,8,81,,OK
38976,407087388102,177710,A,8,81,,OK
38412,407087390094,14769,A,11,12,,OK
38456,407087389968,262255,A,8,28,,OK
38708,407087389395,33716,A,25,88,,OK
39130,407087389249,33590,A,8,81,,OK
39002,407087389384,262067,A,75,187,,OK
38847,407087389135,33648,A,8,81,,OK
39413,407087389850,33633,A,41,62,,OK
38974,407087388746,262189,A,8,81,,OK
38608,407087388655,33705,A,4,4,,OK
38262,407087388652,33590,A,17,21,,OK
38172,407087388439,33705,A,8,28,,OK
38079,407087388418,63691,A,11,11,,OK
38825,407087388427,179847,-,17,56,,OK
38479,407087388477,169368,A,8,0,,INVISIBLE
38265,407087388423,33716,A,36,47,,OK
39251,407087388293,33544,A,8,81,,OK
38703,407087388248,33712,A,15,67,,OK
39425,407087388268,262207,A,41,62,,OK
38074,407087388114,33705,A,11,11,,OK
39218,407087388476,174593,A,41,62,,OK
38186,407087388094,262067,A,11,12,,OK
39362,407087325801,33596,-,5,14,,OK
39325,407087387899,50459,A,5,40,,OK
38795,407087387956,33590,A,8,81,,OK
37675,407087387924,33742,-,1,1,,OK
39241,407087388047,179851,A,41,62,,OK
37674,407087387644,50459,A,11,11,,OK
39326,407087387513,50459,A,5,40,,OK
38649,407087387214,61523,A,41,115,,OK
38986,407087387519,43946,-,10,23,,OK
39179,407087387238,50459,A,52,157,,OK
39017,407087387088,33705,A,96,278,,OK
38737,407087386402,50455,A,8,81,,OK
38278,407087386874,33596,-,46,69,,OK
38498,407087386574,14769,A,8,28,,OK
38886,407087386424,262255,A,30,49,,OK
39005,407087386013,179851,A,6,16,,OK
38939,407087386345,33705,A,6,16,,OK
38348,407087386036,262146,A,31,121,,OK
39182,407087386134,50459,A,8,81,,OK
39297,407087385544,177710,A,8,81,,OK
38391,407087385648,33725,A,5,58,,OK
37876,407087385658,33706,A,6,26,,OK
37850,407087384830,179847,-,1,1,,OK
38555,407087385474,43946,B,9,16,,OK
39133,407087385039,33580,A,8,81,,OK
37842,407087385080,33736,A,11,12,,OK
38738,407087384556,50455,A,8,81,,OK
39177,407087384239,50459,A,8,81,,OK
38599,407087384328,33725,A,54,144,,OK
38213,407087384544,179851,A,5,58,,OK
39302,407087384258,179851,A,5,40,,OK
38512,407087383938,33706,A,36,47,,OK
39296,407087383718,177710,A,8,81,,OK
38676,407087384212,262189,A,11,22,,OK
39615,407087383958,258035,A,8,0,,INVISIBLE
39505,407087383493,174030,-,1,13,,OK
39299,407087383630,33554,-,1,8,,OK
64346,407176674045,33645,A,6,22,,OK
64347,407176674048,42609,A,6,22,,OK
64345,407176646913,179696,A,6,22,,OK
64341,407176636966,63690,A,6,22,,OK
64338,407176592581,14769,A,6,22,,OK
64339,407176592206,14769,A,6,22,,OK
64336,407176592418,46102,A,6,22,,OK
64330,407176563609,174112,A,6,22,,OK
64331,407176563541,61304,B,6,22,,OK
65022,407176560979,33736,A,41,62,,OK
65013,407176559107,33705,A,41,62,,OK
65014,407176559272,33705,A,41,62,,OK
65012,407176559082,33705,A,41,62,,OK
54208,407087055080,262067,A,40,50,,OK
65017,407176552420,33705,A,41,62,,OK
64327,407176546211,33596,B,6,22,,OK
64326,407176546210,33596,B,6,22,,OK
64321,407176536063,33596,B,6,22,,OK
62146,407176527468,262189,A,5,40,,OK
65053,407174446359,33602,B,15,22,,OK
65052,407174399843,179847,B,20,38,,OK
65050,407174398664,184616,A,41,62,,OK
65051,407174397144,50459,A,41,62,,OK
65054,407174395466,33596,B,14,21,,OK
65060,407174393032,262067,A,42,63,,OK
65063,407174449773,9886,A,64,95,,OK
65064,407174401600,179847,B,285,513,,OK
65061,407174393028,262067,A,42,63,,OK
65055,407174393007,262249,A,78,112,,OK
65058,407174395456,262159,A,387,593,,OK
65038,407174399593,262221,B,14,21,,OK
65080,407174548250,33716,A,19,34,,OK
65083,407174547001,33716,A,23,44,,OK
65082,407174547007,33716,A,23,44,,OK
65084,407174537654,262150,A,41,62,,OK
64319,407176506544,50459,A,6,22,,OK
64318,407176506489,184616,A,6,22,,OK
64317,407176506537,50459,A,6,22,,OK
64316,407176494911,184616,A,6,22,,OK
64313,407176484008,50459,A,6,22,,OK
64310,407176484062,262159,A,6,22,,OK
64309,407176472447,262146,A,6,22,,OK
64304,407176471918,262146,A,6,22,,OK
64303,407176463723,33604,B,6,22,,OK
4941,407176390049,179851,A,9,12,,OK
60257,407174766662,171115,A,40,50,,OK
60841,407174753315,33589,A,40,50,,OK
65156,407174750224,262146,A,40,50,,OK
60938,407174749968,33645,A,40,50,,OK
60741,407174747884,33554,B,20,27,,OK
60685,407174746899,262161,A,40,50,,OK
60684,407174746869,262161,A,40,50,,OK
60255,407174744621,262256,A,61,75,,OK
60256,407174744648,262245,A,40,50,,OK
60280,407174731916,262206,A,114,274,,OK
60232,407174730325,33705,A,14,66,,OK
6405,407174729231,262146,A,14,66,,OK
64132,407174711567,179847,B,6,22,,OK
64127,407174697280,33705,A,6,22,,OK
64126,407174691548,33675,A,6,22,,OK
64124,407174691554,262189,A,6,22,,OK
64120,407174675081,33704,A,6,22,,OK
64121,407174675112,50459,A,6,22,,OK
64119,407174672891,50459,A,6,22,,OK
64117,407174672887,174077,A,6,22,,OK
64113,407174652313,33596,B,6,22,,OK
64112,407174652216,33545,A,6,22,,OK
64109,407174645873,33705,A,6,22,,OK
64108,407174645864,33705,A,6,22,,OK
64107,407174640186,33555,B,6,22,,OK
64106,407174614733,33545,A,6,22,,OK
64099,407174602254,33706,A,6,22,,OK
64100,407174602261,33706,A,6,22,,OK
64101,407174602255,14769,A,6,22,,OK
64102,407174602246,14769,A,6,22,,OK
64083,407174588971,33648,A,6,22,,OK
64082,407174586261,33648,A,6,22,,OK
64080,407174582545,33648,A,6,22,,OK
64079,407174570286,33648,A,6,22,,OK
64059,407174576302,179847,B,4,6,,OK
64964,407174549224,33716,A,3,23,,OK
64965,407174547764,33716,A,3,23,,OK
64078,407174547075,262204,A,6,22,,OK
64963,407174545351,33716,A,3,23,,OK
64962,407174543356,33716,A,3,23,,OK
64073,407174504210,50459,A,6,22,,OK
64068,407174497968,179851,A,6,22,,OK
64069,407174498078,179851,A,6,22,,OK
64071,407174498067,179851,A,6,22,,OK
64070,407174497954,179851,A,6,22,,OK
64999,407174413932,33728,A,7,53,,OK
64998,407174413900,33728,A,7,53,,OK
64062,407174410366,262204,A,6,22,,OK
60200,407174399495,33742,B,3,12,,OK
60199,407174390183,33589,A,14,66,,OK
5807,407160317572,33560,A,13,62,,OK
5805,407160317506,33560,A,13,62,,OK
35366,407087444849,180140,-,33,0,,INVISIBLE
41678,407087383393,14769,A,9,11,,OK
42633,407087383060,33589,A,7,55,,OK
41070,407087381690,179847,-,3,3,,OK
34967,407087381155,33725,A,65,81,,OK
34979,407087380416,42605,A,24,32,,OK
40209,407087378199,50459,A,5,40,,OK
42103,407087379433,262067,A,11,12,,OK
40214,407087377555,262251,A,70,130,,OK
35309,407087378284,50459,A,8,81,,OK
40158,407087376214,177710,A,12,70,,OK
40780,407087379436,33705,A,24,32,,OK
41344,407087376905,179847,-,32,45,,OK
41504,407087376302,262251,A,24,32,,OK
34965,407087371568,50459,A,24,32,,OK
42345,407087371555,50459,A,7,55,,OK
40706,407087371712,177710,A,39,47,,OK
41094,407087371284,262161,A,14,66,,OK
35022,407087370841,174593,A,37,50,,OK
40441,407087326352,262067,A,5,58,,OK
39365,407087369525,33705,A,5,40,,OK
41379,407087368528,33554,-,23,36,,OK
39703,407087368363,33697,A,8,81,,OK
41828,407087368268,14769,A,7,33,,OK
40968,407087367325,50459,A,11,11,,OK
40269,407087366860,262146,A,13,33,,OK
40245,407087366854,179851,A,5,58,,OK
42607,407087363314,179847,-,12,13,,OK
41770,407087366701,262084,A,11,12,,OK
35027,407087365892,33706,A,37,50,,OK
41398,407087365294,33589,A,9,11,,OK
39702,407087364619,33706,A,8,81,,OK
39718,407087364629,33555,-,8,20,,OK
31471,407087364404,177710,A,31,102,,OK
35042,407087363541,50459,A,7,55,,OK
40405,407087362290,179851,A,5,58,,OK
40447,407087359422,177710,A,12,70,,OK
41829,407087362165,14769,A,7,33,,OK
42661,407087362099,179847,-,7,7,,OK
31464,407087360559,33638,A,40,50,,OK
41656,407087360535,179851,A,7,33,,OK
41007,407087360062,50459,A,40,50,,OK
40505,407087359674,262150,A,5,58,,OK
41921,407087359664,50459,A,41,62,,OK
40754,407087359120,262067,A,24,32,,OK
40440,407087358638,262067,A,5,58,,OK
41684,407087358117,33705,A,9,11,,OK
40206,407087358067,262161,A,5,40,,OK
40878,407087357476,33596,-,117,132,,OK
41959,407087357076,179851,A,7,55,,OK
40233,407087354647,262189,A,5,40,,OK
35055,407087356591,50459,A,7,55,,OK
40330,407087356343,262150,A,5,58,,OK
41306,407087355220,262067,A,11,11,,OK
40197,407087354938,184616,A,31,39,,OK
42363,407087354447,14769,A,7,55,,OK
39927,407087354475,33705,A,5,40,,OK
40207,407087354353,262161,A,5,40,,OK
41841,407087354106,177710,A,11,37,,OK
41107,407087354426,9886,A,9,11,,OK
40295,407087353889,179851,A,5,58,,OK
41540,407087353876,33705,A,11,11,,OK
40495,407087352944,174593,A,41,62,,OK
41307,407087352821,262084,A,11,11,,OK
42102,407087352143,262067,A,11,12,,OK
41175,407087352174,33675,A,9,11,,OK
46402,407087255458,179850,A,41,62,,OK
34943,407087351516,33725,A,65,81,,OK
39701,407087351183,33706,A,8,81,,OK
39924,407087350742,177710,A,13,53,,OK
41286,407087350462,262067,A,75,190,,OK
42438,407087350515,262150,A,7,38,,OK
40070,407087350568,262068,A,11,68,,OK
39716,407087350286,262085,A,8,81,,OK
