sku,listingId,categoryId,rule,stored,displayed,leaked,status
33663,405541501081,107062,A,24,0,,INVISIBLE
33631,405536506933,107062,A,5,0,,INVISIBLE
33480,405541511008,179671,A,24,0,,INVISIBLE
33499,405545183426,33725,A,24,32,,OK
33297,405536124155,38771,A,5,0,,INVISIBLE
33316,405526601294,50459,A,7,55,,OK
41391,407087350039,38771,A,9,0,,INVISIBLE
233,407180204562,107062,A,10,0,,INVISIBLE
44007,407087291988,14769,A,30,120,,OK
41392,407087351293,38771,A,9,0,,INVISIBLE
219,407180204085,9886,A,10,0,,INVISIBLE
298,407180203719,38771,A,2,0,,INVISIBLE
312,407180204032,179671,A,36,0,,INVISIBLE
575,407180202490,179671,A,16,0,,INVISIBLE
576,407180202966,38771,A,9,0,,INVISIBLE
570,407180202319,107062,A,16,0,,INVISIBLE
584,407180202687,179671,A,16,0,,INVISIBLE
701,407180202206,107062,A,7,0,,INVISIBLE
755,407180202514,107062,A,21,0,,INVISIBLE
903,406924889520,179851,A,22,32,,OK
961,407180202348,174119,A,4,0,,INVISIBLE
932,406949049144,33654,A,7,53,,OK
952,407180202414,21647,A,4,0,,INVISIBLE
1058,407180201959,38771,A,4,0,,INVISIBLE
1066,406928822434,33590,A,4,10,,OK
1071,406939839673,33590,A,4,10,,OK
1111,407180201866,107062,A,4,0,,INVISIBLE
1157,407180201913,107062,A,7,0,,INVISIBLE
1308,407180201841,174119,A,7,0,,INVISIBLE
1316,407180202067,169395,A,7,0,,INVISIBLE
1328,406935456724,46097,A,53,127,,OK
1562,407180201832,21647,A,7,0,,INVISIBLE
1697,406939792334,33705,A,13,57,,OK
1918,407180201916,33716,A,16,0,,INVISIBLE
2191,406921981466,33555,B,72,194,,OK
3282,407180201665,38771,A,8,0,,INVISIBLE
3279,407180201371,179671,A,8,0,,INVISIBLE
3283,407180201275,38771,A,8,0,,INVISIBLE
3280,407180201361,179671,A,8,0,,INVISIBLE
3287,407180201392,179671,A,8,0,,INVISIBLE
3550,407180201294,107062,A,8,0,,INVISIBLE
5114,407169960333,262207,A,40,50,,OK
2090,407169477722,61523,A,26,61,,OK
35509,407087431476,33640,A,8,81,,OK
50832,407087182397,61864,A,45,106,,OK
1937,407169291110,33590,A,4,48,,OK
53551,407087139652,14769,A,45,58,,OK
53552,407087137510,14769,A,45,58,,OK
3320,407084318578,174091,A,14,92,,OK
60626,407169111757,33604,B,47,68,,OK
60775,407169112159,174091,A,390,543,,OK
60532,407169114701,33725,A,48,64,,OK
60689,407169113918,179847,A,295,519,,OK
60786,407169114596,33555,B,6,6,,OK
60354,407169114271,33705,A,44,57,,OK
60581,407169114421,33725,A,41,51,,OK
60584,407169114292,33725,A,41,51,,OK
60941,407169114329,179847,B,20,27,,OK
60529,407169114218,33725,A,48,64,,OK
60623,407169114315,262159,A,44,60,,OK
60656,407169114208,33716,A,45,58,,OK
60739,407169114341,33558,B,25,38,,OK
60377,407169114001,33725,A,40,50,,OK
60836,407169114137,33742,B,6,6,,OK
60840,407169114105,33742,B,6,6,,OK
60353,407169113994,50459,A,40,50,,OK
60560,407169114081,50459,A,40,50,,OK
60827,407169114020,262204,A,45,58,,OK
60384,407169113797,33725,A,40,50,,OK
60566,407169113849,50459,A,40,50,,OK
60355,407169113760,33705,A,44,57,,OK
60740,407169113474,33558,B,25,38,,OK
60828,407169113616,262204,A,41,51,,OK
60570,407169113592,50459,A,40,50,,OK
60653,407169113501,262150,A,40,50,,OK
60375,407169112422,33557,B,85,166,,OK
60657,407169112586,33716,A,27,40,,OK
60870,407169112289,262255,A,53,67,,OK
60357,407169112479,177710,A,74,103,,OK
60374,407169112433,33557,B,85,166,,OK
60654,407169111510,33716,A,27,40,,OK
60781,407169111378,33728,A,40,50,,OK
60780,407169111393,33728,A,40,50,,OK
60774,407169111110,174091,A,390,543,,OK
60381,407169111508,33725,A,40,50,,OK
60568,407169114264,50459,A,40,50,,OK
60624,407169113974,262159,A,224,394,,OK
60617,407169113761,262068,A,66,89,,OK
60373,407169113753,33700,A,81,124,,OK
60625,407169113682,179847,B,50,73,,OK
60574,407169113648,50459,A,48,64,,OK
60745,407169112615,262084,A,40,50,,OK
60748,407169112044,33555,B,20,27,,OK
60746,407169111753,33553,B,20,27,,OK
60376,407169111773,179847,A,74,103,,OK
60778,407169111673,33728,A,40,50,,OK
60627,407169111556,33604,B,38,56,,OK
60580,407169111177,262067,A,40,50,,OK
60579,407169110779,262067,A,40,50,,OK
23401,404995870040,46102,A,11,11,,OK
23066,404990795759,262078,A,4,48,,OK
62654,407180824639,33697,A,120,0,,INVISIBLE
23235,404995849541,33563,A,11,11,,OK
5737,407009074967,33675,A,41,62,,OK
5977,407052733657,33710,A,8,9,,OK
60095,407046060848,33710,A,12,16,,OK
3535,407176830354,33716,A,13,55,,OK
33034,407087991435,262152,A,7,33,,OK
32698,407087988127,174093,A,7,55,,OK
32899,407087987891,262189,A,40,50,,OK
33498,407087987746,33725,A,24,32,,OK
33550,407087987507,33602,-,61,140,,OK
64951,407174346971,262159,A,191,397,,OK
64957,407174340109,33596,A,43,91,,OK
64960,407174340106,33596,A,7,53,,OK
6429,407174334919,171115,A,19,85,,OK
4740,407174303163,33705,A,7,55,,OK
60346,407174242747,33645,A,119,330,,OK
64580,407174200782,33554,B,14,21,,OK
64576,407174200737,262183,B,136,232,,OK
64577,407174200732,262251,A,56,64,,OK
64569,407174178613,33555,B,16,23,,OK
65010,407174178213,50459,A,110,153,,OK
65019,407174171203,33700,A,135,192,,OK
64566,407174170304,177697,B,43,55,,OK
64565,407174169379,262249,A,10,10,,OK
64564,407174169361,33593,A,60,86,,OK
