sku,problem,shopify_chassis,shopify_year,shopify_engine,ebay_vin,vin_says_year,ebay_model,listing,title
17089,engine part / engine unknown,F80,(blank),(blank),WBS3C9C54FP805167,2015,M3,https://www.ebay.com/itm/406942863318,OEM BMW F80 F82 F87 M2 M3 M4 Steering Wheel M SPORT Black Leather w/o Shifters
17141,engine part / engine unknown,F12,(blank),(blank),WBSLZ9C56EDZ78610,2014,M6,https://www.ebay.com/itm/406942863378,10-19 BMW F10 F12 F13 F01 F02 F15 S63 Intake Manifold Throttle Housing Assembly
17142,engine part / engine unknown,F12,(blank),(blank),WBSLZ9C56EDZ78610,2014,M6,https://www.ebay.com/itm/406942863366,10-19 BMW F10 F12 F13 F01 F02 F15 S63 Intake Manifold Throttle Housing Assembly
17746,engine part / engine unknown,F22,(blank),(blank),WBA2G3C37HV641685,2017,,https://www.ebay.com/itm/406942863126,OEM BMW F22 F87 F82 Rear Parking Distance Sensor Black 475
18141,engine part / engine unknown,F10,(blank),(blank),WBAFU7C56DDU69023,2013,,https://www.ebay.com/itm/406942863340,OEM BMW F01 F02 F07 F10 iDrive Navigation Controller Knob CIC NAV Button
13611,no chassis at all,(blank),2015,raw_S55,WBS3C9C55FJ276167,2015,M3,https://www.ebay.com/itm/407122716897,OEM BMW F30 F36 F80 M3 328 335 435 Left Driver Roof Head Curtain Air Bag Airbag
15110,no chassis at all,(blank),2016,raw_N55,WBA1J7C57GV290104,2016,M235i,https://www.ebay.com/itm/407122716913,14-20 OEM BMW F22 F87 M2 COUPE Left Driver Top Roof Head Air Bag Airbag Curtain
L11607,no chassis at all,(blank),2013,(blank),WBA3A5C54DF453441,2013,328i,https://www.ebay.com/itm/404455000968,OWM BMW F30 F32 F33 328 428 Manual Transmission N20 N26 AWD X Drive
L13718,no chassis at all,(blank),2015,raw_S63T,WBSFV9C57ED593243,2014,M5,https://www.ebay.com/itm/407084366693,Transmission
15771,no chassis at all,(blank),2015,raw_N55,WBA1J7C54FV358941,2015,M235i,https://www.ebay.com/itm/407122713449,14-20 OEM BMW F22 F87 M2 COUPE Left Driver Top Roof Head Air Bag Airbag Curtain
