part_number_7,part_number_11_forms,vehicle_count,vehicles
9240351,66539216283|66539240351,47,2011 BMW 528i; 2011 BMW 535i; 2011 BMW 550i; 2011 BMW 750li; 2011 BMW X5; 2011 BMW X5d; 2012 BMW 535I; 2012 BMW 535i; 2012 BMW Alpina B7; 2012 BMW X5M; 2012 BMW X5d; 2013 BMW 328i XDRIVE; 2013 BMW 335i; 2013 BMW 535ix GT; 2013 BMW 750i; 2013 BMW 750li; 2014 BMW 228i; 2014 BMW 328i; 2014 BMW 328xi; 2014 BMW 428i; 2014 BMW 428xi; 2014 BMW 435i; 2014 BMW 535xi; 2014 BMW M5; 2015 BMW 328i; 2015 BMW 428i; 2015 BMW 435i; 2015 BMW 528xi; 2015 BMW 535i; 2015 BMW M235i; 2015 BMW M3; 2015 BMW M4; 2015 BMW M5; 2016 BMW 340i; 2016 BMW 428i; 2016 BMW 435i; 2016 BMW 535i; 2016 BMW M235i; 2016 BMW M3; 2016 BMW M4; 2017 BMW 340i; 2017 BMW 430I; 2017 BMW 440i; 2017 BMW M240xi; 2018 BMW M240xi; 2018 BMW M3; 2018 BMW M4
7516383,11427516383|11427525333|11427573032|11428642289,41,2007 BMW 335i; 2008 BMW 135i; 2008 BMW 335i; 2009 BMW 135i; 2009 BMW 335i; 2009 BMW X5; 2010 BMW 335i; 2011 BMW 135i; 2011 BMW 335i; 2011 BMW 335is; 2011 BMW 535i; 2011 BMW X5; 2012 BMW 135i; 2012 BMW 335i; 2012 BMW 535I; 2012 BMW 535i; 2013 BMW 135i; 2013 BMW 328i; 2013 BMW 328i XDRIVE; 2013 BMW 335i; 2013 BMW 335is; 2013 BMW 335xi; 2013 BMW 528i; 2014 BMW 228i; 2014 BMW 320i; 2014 BMW 328i; 2014 BMW 328xi; 2014 BMW 335i; 2014 BMW 428i; 2014 BMW 435i; 2014 BMW 535xi; 2014 BMW X3; 2014 BMW X5; 2015 BMW 328i; 2015 BMW 528xi; 2015 BMW M235i; 2015 BMW M3; 2015 BMW X3; 2015 BMW X5; 2015 BMW X6; 2016 BMW X3
8638551,12638638551,37,2015 BMW M235i; 2016 BMW 340i; 2016 BMW 340xi; 2016 BMW 740i; 2017 BMW 340i; 2017 BMW 340xi; 2017 BMW 430I; 2017 BMW 540i; 2017 BMW 740i; 2017 BMW M240i; 2017 BMW M240xi; 2018 BMW 330i; 2018 BMW 340i; 2018 BMW 440i; 2018 BMW 540i; 2018 BMW 740i; 2018 BMW M240i; 2018 BMW M240xi; 2018 BMW X3; 2019 BMW 330i; 2019 BMW M240i; 2019 BMW X3; 2019 BMW X5; 2020 BMW 330i; 2020 BMW M340i; 2020 BMW X3; 2020 BMW X5; 2020 BMW Z4; 2021 BMW 330i; 2021 BMW M340i; 2021 BMW X3; 2022 BMW 230i; 2022 BMW 330i; 2022 BMW 430i; 2022 BMW M240i; 2022 BMW Z4; 2023 BMW M240i
7591534,12637591534|26375915340,37,2011 BMW 135i; 2011 BMW 528i; 2011 BMW 535i; 2012 BMW 335i; 2012 BMW 535i; 2013 BMW 328i; 2013 BMW 328i XDRIVE; 2013 BMW 335i; 2013 BMW 335xi; 2013 BMW 528i; 2013 BMW 535ix GT; 2013 BMW 740li; 2014 BMW 228i; 2014 BMW 328i; 2014 BMW 328xi; 2014 BMW 335i; 2014 BMW 428i; 2014 BMW 428xi; 2014 BMW 435i; 2014 BMW 535i; 2014 BMW 535xi; 2014 BMW X3; 2014 BMW X5; 2015 BMW 328i; 2015 BMW 335xi; 2015 BMW 428i; 2015 BMW 435i; 2015 BMW 528xi; 2015 BMW 535i; 2015 BMW M235i; 2015 BMW X3; 2015 BMW X5; 2016 BMW 228i; 2016 BMW 435i; 2016 BMW 535i; 2016 BMW M235i; 2016 BMW X3
7599042,11618601612|11618601613|13547619008|13627599042|36275990420,34,2011 BMW 335i; 2012 BMW 335i; 2012 BMW 535I; 2013 BMW 135i; 2013 BMW 328i XDRIVE; 2013 BMW 335i; 2013 BMW 335xi; 2013 BMW 528i; 2013 BMW 750i; 2013 BMW 750li; 2013 BMW M5; 2014 BMW 228i; 2014 BMW 335i; 2014 BMW 428i; 2014 BMW 428xi; 2014 BMW 435i; 2014 BMW 535xi; 2014 BMW X5; 2015 BMW 335xi; 2015 BMW 428i; 2015 BMW 535i; 2015 BMW 650i; 2015 BMW M3; 2015 BMW M5; 2015 BMW X5; 2015 BMW X6M; 2016 BMW 750i; 2016 BMW X6; 2017 BMW M3; 2017 BMW X5; 2018 BMW 750i; 2018 BMW M3; 2018 BMW M550i; 2019 BMW X5
7597871,11617576911|13547597871|35475978710,33,2011 BMW 135i; 2011 BMW 335i; 2011 BMW 535i; 2011 BMW X5; 2012 BMW 335i; 2012 BMW 535I; 2012 BMW 535i; 2012 BMW X3; 2013 BMW 135i; 2013 BMW 335i; 2013 BMW 335xi; 2013 BMW 535ix GT; 2013 BMW 740li; 2014 BMW 335i; 2014 BMW 435i; 2014 BMW 535xi; 2014 BMW X3; 2014 BMW X5; 2015 BMW 335xi; 2015 BMW 435i; 2015 BMW 435xi; 2015 BMW 535i; 2015 BMW M3; 2015 BMW M4; 2015 BMW X3; 2015 BMW X5; 2016 BMW 435i; 2016 BMW M235i; 2016 BMW M3; 2016 BMW M4; 2016 BMW X6; 2017 BMW M3; 2018 BMW M3
9228652,21292286520|72129228652,33,2012 BMW 335i; 2013 BMW 328i; 2013 BMW 335i; 2013 BMW 335xi; 2014 BMW 228i; 2014 BMW 320i; 2014 BMW 328i; 2014 BMW 335i; 2014 BMW 428i; 2014 BMW 428xi; 2014 BMW 435i; 2015 BMW 320i; 2015 BMW 328i; 2015 BMW 435i; 2015 BMW M235i; 2015 BMW M3; 2015 BMW M4; 2016 BMW 340i; 2016 BMW 435i; 2016 BMW M235i; 2016 BMW M3; 2016 BMW M4; 2017 BMW 340i; 2017 BMW 440i; 2017 BMW M240i; 2018 BMW 330i; 2018 BMW 340i; 2018 BMW 440i; 2018 BMW M2; 2018 BMW M240i; 2018 BMW M3; 2018 BMW M4; 2019 BMW M240i
9250734,13192507340|61319250734,33,2013 BMW 328i; 2013 BMW 328i XDRIVE; 2013 BMW 335xi; 2014 BMW 228i; 2014 BMW 328i; 2014 BMW 328xi; 2014 BMW 335i; 2014 BMW 428i; 2014 BMW 428xi; 2014 BMW 435i; 2015 BMW 320i; 2015 BMW 328i; 2015 BMW 335xi; 2015 BMW 435i; 2015 BMW M235i; 2015 BMW M3; 2015 BMW M4; 2016 BMW 340i; 2016 BMW 428i; 2016 BMW M235i; 2016 BMW M3; 2016 BMW M4; 2017 BMW 340i; 2017 BMW 430I; 2017 BMW M240i; 2017 BMW M240xi; 2018 BMW 330i; 2018 BMW 440i; 2018 BMW M240i; 2018 BMW M240xi; 2018 BMW M3; 2018 BMW M4; 2019 BMW M240i
6935024,52069350240|65206935024,30,2004 BMW 325xi; 2004 BMW 645ci; 2005 BMW 545i; 2006 BMW 325i; 2006 BMW 650i; 2006 BMW 750i; 2006 BMW 750li; 2007 BMW 328i; 2007 BMW 335i; 2007 BMW 525i; 2007 BMW 530xi; 2007 BMW 750li; 2008 BMW 335i; 2008 BMW 750i; 2008 BMW M3; 2009 BMW 328i; 2009 BMW 335i; 2010 BMW 335i; 2011 BMW 135i; 2011 BMW 328i; 2011 BMW 335i; 2011 BMW 550i; 2011 BMW M3; 2012 BMW 135i; 2013 BMW 335i; 2013 BMW Z4 SDRIVE3; 2014 BMW X3; 2014 BMW Z4; 2015 BMW X1; 2015 BMW X1 SDRIVE28I
9275121,61319162645|61319275121,29,2013 BMW 750li; 2013 BMW M5; 2014 BMW M5; 2014 BMW X5; 2015 BMW 435i; 2015 BMW 528xi; 2015 BMW 535i; 2015 BMW X3; 2015 BMW X5; 2015 BMW X6M; 2016 BMW 535i; 2016 BMW 750xi; 2016 BMW X1; 2016 BMW X3; 2016 BMW X6; 2017 BMW 340i; 2017 BMW 740i; 2017 BMW X5M; 2018 BMW 540i; 2018 BMW X1; 2018 BMW X3; 2019 BMW 330i; 2019 BMW X3; 2019 BMW X5; 2020 BMW 740i; 2020 BMW M340i; 2020 BMW X3; 2020 BMW X3M; 2020 BMW X5
6853175,35426853175|54268531750,29,2013 BMW 328i XDRIVE; 2013 BMW 335i; 2014 BMW 228i; 2014 BMW 320i; 2014 BMW 428i; 2014 BMW 435i; 2014 BMW X5; 2015 BMW 320i; 2015 BMW 435i; 2015 BMW M3; 2015 BMW M4; 2015 BMW X5; 2016 BMW 228i; 2016 BMW 435i; 2016 BMW M3; 2016 BMW M4; 2016 BMW X6; 2017 BMW 340i; 2017 BMW M240i; 2017 BMW M240xi; 2018 BMW 340i; 2018 BMW M240xi; 2018 BMW X3; 2019 BMW 330i; 2019 BMW X3; 2019 BMW X5; 2020 BMW 228i; 2020 BMW 330i; 2020 BMW X3
8643360,12138643360,28,2018 BMW 330i; 2018 BMW 540i; 2018 BMW 740i; 2018 BMW M240i; 2018 BMW M240xi; 2018 BMW X1; 2018 BMW X2; 2018 BMW X3; 2019 BMW 330i; 2019 BMW M240i; 2019 BMW X3; 2019 BMW X5; 2020 BMW 330i; 2020 BMW M340i; 2020 BMW X3; 2020 BMW X3M; 2020 BMW X5; 2020 BMW Z4; 2021 BMW 228i; 2021 BMW 330i; 2021 BMW 540i; 2021 BMW M340i; 2021 BMW X3; 2021 BMW X5; 2022 BMW 230i; 2022 BMW 330i; 2022 BMW M240i; 2022 BMW M4
6129510,66539302256,27,2012 BMW 650i; 2013 BMW 328i XDRIVE; 2013 BMW 335i; 2013 BMW 535ix GT; 2013 BMW M5; 2014 BMW 328i; 2014 BMW 335i; 2014 BMW 428xi; 2014 BMW 435i; 2014 BMW 535xi; 2014 BMW 650i; 2014 BMW M6; 2014 BMW X5; 2015 BMW 328i; 2015 BMW 335xi; 2015 BMW 528xi; 2015 BMW 650i; 2015 BMW M235i; 2015 BMW M4; 2015 BMW M5; 2016 BMW 428i; 2016 BMW M3; 2016 BMW M4; 2017 BMW 340i; 2018 BMW 440i; 2018 BMW M4; 2019 BMW M240i
